Identifier / Formula,Name,rank 1,rank 2,rank 3,rank 4,rank 5,rank 6,rank 7,rank 8,rank 9,rank 10
\vec{\tau} = \vec{r} \times \vec{F},torque (Q48103),Cross product,Torque vector,Moment arm,Angular momentum,Pseudovector,Curl operation,Vector triple product,Rotational force,Skew-symmetric tensor,Exterior derivative
"\vec{\tau} = \frac{\mathrm{d}\vec{L}}{\mathrm{dt}},",torque (N/A),Angular Momentum,Torque (torques),Moment of Inertia,Rotational Kinematics,Angular Velocity,Torsion Tensor,Moment of Rotation,Rotational Dynamics Formula,Gyroscopic Effect,Euler's Angular Momentum
\vec{F} = - \frac{mv^2 \hat{r}}{r},centripetal force (Q172881),Newton's Law,Centrifugal Force,Gravitational Acceleration,Radial Force,Central Force Law,Planetary Motion Formula,Rotational Velocity Equation,Inverse Square Law,Angular Momentum Relationship,Orbital Attraction Formula
"W=\int_{\vec{x}_1}^{\vec{x}_2}{\vec{F} \cdot{\mathrm{d}\vec{x}}},",work (Q42213),Line Integral,Work Energy Theorem,Path Integral,Work Formula,Flux Integral,Vector Field Integral,Conservative Force Integral,Potential Energy Integral,Lagrangian Integral,Hamilton's Principle
{\vec{v}\text{ }=\text{ d}\vec{x}/\text{d}t},velocity (Q11465),Velocity,Rate of Change,Derivative,Time-Derivative,Speed,Instantaneous Velocity,Tangent Vector,Directional Derivative,Material Derivative,D-dot Operator
\vec{F}=-\vec{\nabla} U.,gradient (N/A),Gradient Theorem,Divergence Theorem,Euler's Law,Gauss' Law,Maxwell's Equations,Poisson Equation,Laplace Equation,Navier-Stokes Equations,Stokes' Theorem,Kelvin's Circulation Theorem
\vec{F}_g = - \frac{G m_1 m_2}{r^2} \hat{r},gravitational force (Q11412),Newton's Law of Universal Gravitation,Gravitational Force Formula,Weight Formula (in gravitational context),Gravity Vector Formula,Gravitational Attraction Formula,Earth's Gravitational Field Strength,Two-Body Problem Formula (in physics),Inverse Square Law of Gravity,Gravitomagnetic Field Formula,Planckian Gravitational Force
\vec{F}_e = \frac{q_1 q_2}{4 \pi \epsilon_{0} r^2} \hat{r},electrostatic force (Q103438301),Coulomb's Law,Electrostatic Force Formula,Electric Field Formula,Coulomb's Constant Formula,Laplace's Law,Newton's Third Law (electrostatics),Electromagnetic Force Formula,Lorentz Force Formula,Poisson's Equation,Gauss's Law for Forces
\vec{F}_s = - k r \hat{r},Hooke's law (Q170282),Coulomb's Law,Electrostatic Force Law,Electric Field Formula,Coulomb's Constant Formula,Electromotive Force Equation,Force on a Charge Formula,Newtonian Electrostatics,Point Charge Potential,Radial Force Function,Yukawa Potential
\boldsymbol{F} = m\boldsymbol{a},equation of motion (N/A),Newton's Second Law,FMA (Force-Mass-Acceleration),Force Equation,Mass Acceleration Formula,Acceleration Formula,Force Law,Momentum-Acceleration Relation,Inertial Mass Formula,Accelerating Force Law,Kinetic Acceleration Principle
Ro = \frac{U}{fL}.,Rossby number (N/A),Reynolds Number,Euler Number,Richardson Number,Froude Number,Nusselt Number,Prandtl Number,Grashof Number,Bond Number,Strouhal Number,Weber Number
"\boldsymbol{ \Omega} = \omega \begin{pmatrix} 0 \\ \cos \varphi \\ \sin \varphi \end{pmatrix}\ ,",angular velocity (Q161635),Larmor Vector,Angular Velocity Vector,Precession Vector,Wigner D-Matrix Element,Rotational Vector,Frame Rotation Vector,Spin Vector,Magnetic Moment Vector,Sagnac Phase Vector,Gyrovector
"\boldsymbol{ a}_C =-2\boldsymbol{\Omega \times v}= 2\,\omega\, \begin{pmatrix} v_n \sin \varphi-v_u \cos \varphi \\ -v_e \sin \varphi \\ v_e \cos\varphi\end{pmatrix}\ .",acceleration (Q11376),Coriolis acceleration,Omega cross velocity vector,Angular momentum equation,Rotational velocity matrix,Cross product term,Velocity-omega tensor,Eulerian velocity components,Gyroscopic acceleration,Vortex flow vector,Axial angular momentum
"\boldsymbol{ v} = \begin{pmatrix} v_e \\ v_n\end{pmatrix}\ ,",velocity (Q11465),Position Vector,Velocity Vector,Displacement Vector,Generalized Position Vector,Spatial Vector,Coordinate Vector,State Vector,Cartesian Vector,Orthogonal Vector,Euclidean Vector
"\boldsymbol{ \Omega} = \omega \begin{pmatrix} 0 \\ 1 \\ 0 \end{pmatrix}\ ,",angular velocity (Q161635),Angular Momentum Vector,Omega Vector,Spin Vector,Rotational Velocity Vector,Axial Vector,Angular Velocity Vector,Rotation Axis Vector,Omega Parameter Vector,Inertial Frame Vector,Pseudovector Representation
"R= \frac {v}{f}\,",radius (Q173817),Wavelength (λ),Wave Number,Frequency (f),Periodic Time (T),Speed of Light (c),Angular Velocity (ω),Spatial Frequency,Propagation Constant,Diffraction Grating Formula,Fourier Transform
\omega = \frac{v_{\perp}}{r},angular velocity (Q161635),Centrifugal Frequency,Angular Velocity Ratio,Perpendicular Velocity Parameter,Rotational Speed Constant,Radial Velocity Component,Orbital Velocity Fraction,Transverse Velocity Factor,Azimuthal Velocity Coefficient,Gyroscopic Frequency Ratio,Circumferential Velocity Parameter
v_{\perp},velocity (Q11465),Tangential velocity,Perpendicular velocity component,Transverse velocity,Velocity perpendicular to,Component of velocity,Orthogonal velocity vector,Velocity in direction,Normal velocity,Lateral velocity component,Velocity normal to
\alpha = \frac{d}{dt}(\frac{v_{\perp}}{r}),angular acceleration (Q186300),Beta,Gyrofrequency,Centrifugal Acceleration,Rotational Velocity Ratio,Perpendicular Speed Ratio,Radial Velocity Fraction,Angular Momentum Gradient,Circular Motion Parameter,Torque Coefficient Function,Axial Velocity Proportionality
\alpha = \frac{1}{r}\frac{dv_{\perp}}{dt} - \frac{v_{\perp}}{r^2}\frac{dr}{dt},angular acceleration (Q186300),**Radial Acceleration Formula**,**Transverse Velocity Derivative Formula**,**Perturbation Equation**,**Orbital Dynamics Formula**,**Perpendicular Velocity Gradient Formula**,**Alpha Parameter Equation**,**Centrifugal Acceleration Formula**,**Vorticity Component Formula**,**Tangential Motion Equation**,**Lagrangian Coefficient Formula**
\frac{dv_{\perp}}{dt},tangential acceleration (N/A),Lorentz Force,Perpendicular Velocity Component,Radial Acceleration,Transverse Velocity Derivative,Particle Acceleration,Velocity Component Differentiation,Tangential Acceleration,Change in Perpendicular Velocity,Kinematic Perpendicular Velocity,Transverse Momentum Rate
a_{\perp},perpendicular acceleration (N/A),a_perpendicular,a_orthogonal,a_normal,a_transverse,a_perpendicular_to,a_perpendicularly_oriented,orthogonal_a,normal_vector_a,transverse_component_a,perpendicular_component_a
\frac{dr}{dt},acceleration (Q11376),derivative,rate of change,dr/dt,dot product,time derivative,differential quotient,material derivative,substantial derivative,convective derivative,total derivative
\alpha = \frac{a_{\perp}}{r},angular acceleration (Q186300),Lorentz Factor,Alpha Parameter,Perpendicular Ratio,Radial Velocity,Anisotropy Factor,Scale Factor,Relativistic Correction,Angular Momentum Ratio,Geodesic Deviation,Riemann Tensor Component
\boldsymbol\omega,angular velocity (Q161635),Omega,Angular Velocity,Spin Connection,Exponential Map,Rotation Matrix,Momentum Operator,Group Representation,Curvature Tensor,Geodesic Deviation,Euler's Constant
\boldsymbol\omega =\frac{\mathbf r\times\mathbf v}{r^2},angular velocity (Q161635),Angular velocity,Omega,Cross product formula,Angular momentum,Vector cross product,Rotation rate,Omega notation,Kinetic angular momentum,Orbital angular momentum,Larmor precession
\mathbf r,position (N/A),Position Vector,Displacement Vector,Coordinate Vector,Location Vector,Space Vector,Reference Frame Vector,Affine Connection Component,Torsor Element,Fiber Bundle Section,Differentials of Position
\mathbf v,velocity (Q11465),Vector,Position vector,Displacement vector,Velocity vector,Acceleration vector,Momentum vector,Angular momentum vector,Body-fixed vector,Spatial vector,Linear vector
\boldsymbol\alpha,acceleration (Q11376),Dirac Spinor,Pauli Vector,Alpha Parameter,Spinorial Representation,Dirac Algebra,Gamma Matrix,Alpha Function,Clifford Algebra,Lorentz Transformation,Rarita-Schwinger Field
\boldsymbol\alpha = \frac{d}{dt}(\frac{\mathbf r\times\mathbf v}{r^2}),acceleration (Q11376),Angular Velocity,Alpha Dot Formula,Rotational Velocity Vector,Radial Acceleration Formula,Precession Rate,Orbital Velocity Component,Centrifugal Acceleration Formulation,Specific Angular Momentum Equation,Vortex Line Integral Formula,Tidal Acceleration Law
\boldsymbol\alpha = \frac{1}{r^2}(\mathbf r\times \frac{d\mathbf v}{dt} + \frac{d\mathbf r}{dt}\times \mathbf v)-\frac{2}{r^3}\frac{dr}{dt}(\mathbf r\times\mathbf v)\\\\ = \frac{1}{r^2}(\mathbf r\times \mathbf a + \mathbf v\times \mathbf v)-\frac{2}{r^3}\frac{dr}{dt}(\mathbf r\times\mathbf v)\\\\= \frac{\mathbf r\times \mathbf a}{r^2}-\frac{2}{r^3}\frac{dr}{dt}(\mathbf r\times\mathbf v).,Circular acceleration (N/A),Orbital Angular Momentum,Angular Velocity,Cross Product Formula,Larmor Precession,Gyroscopic Precession,Rotational Kinematics,Vector Triple Product,Curl of Acceleration,Rutherford Formula,Biot-Savart Law
\mathbf r\times\mathbf v,angular acceleration (Q186300),Cross Product,Vector Cross,R Cross V,R x V Product,Triple Product,Vector Product,Cross Vector Product,R-V Cross Product,Exterior Product,Skew-Symmetric Product
r^2\boldsymbol{\omega},angular acceleration (Q186300),Euler's Equation,Laplace's Law,Navier-Stokes Equations,Bessel Function,Dirac Delta Function,Klein-Gordon Equation,Riemann Zeta Function,Weierstrass Elliptic Function,Liouville Transformation,Maxwell-Boltzmann Distribution
-\frac{2}{r}\frac{dr}{dt}\boldsymbol{\omega},term (Q1969448),Coriolis Acceleration,Rotational Acceleration,Angular Velocity Derivative,Centrifugal Acceleration Component,Rotating Frame Acceleration,Omega Dot Product,Radial Acceleration Factor,Spherical Coordinate Acceleration,Material Derivative of Omega,Eulerian Acceleration Term
\boldsymbol\alpha = \frac{\mathbf r\times \mathbf a}{r^2},angular acceleration (Q186300),Cross_Product,Normal_Vector,Unit_Normal_Vector,Position_Vector_Cross_Angular_Momentum,Angular_Momentum_Unit_Vector,Cross_Product_Vector,Moment_of_Inertia_ Axis_Hat,Angular_Velocity_Vector,Orbital_Angular_Momentum_Vector,Pseudovector
\mathbf{a}_{\perp} =\boldsymbol{\alpha} \times\mathbf{r},acceleration (Q11376),Cross Product,Perpendicular Vector,Right Vector,Scalar Triple Product,Vector Cross Product,Alpha Vector,R Vector,Normal Vector Formula,Orthogonal Vector Operation,Triple Cross Product
\boldsymbol{\tau}=\mathbf r\times \mathbf F,torque (Q48103),Lorentz Force Law,Cross Product Theorem,Torque Equation,Angular Momentum Formula,Moment of a Force Formula,Pseudo Vector Formulation,Right Hand Rule Principle,Curl Product Rule,Biot-Savart Law Extension,Rotor Product Identity
\mathbf F,force (Q11402),ForceVector,NetForce,AppliedForce,ReactionForce,TensionForce,CompressionForce,CentripetalForce,NormalForce,ContactForce,D'AlembertForce
\mathbf F = m\mathbf a,force (Q11402),Newton's Second Law of Motion,Force-Mass Equation,Mass-Acceleration Relationship,F=ma Formula,Newton's Law,Momentum Equation,Acceleration-Force Relation,Inertia Principle,Mechanical Energy Law,Kinetic Force Formula
\boldsymbol{\tau}=m(\mathbf r\times \mathbf a)=mr^2(\frac{\mathbf r\times \mathbf a}{r^2}),torque (Q48103),Angular Momentum,Rotational Kinetic Energy,Torque,Moment of Inertia,Cross Product Formula,Rotaional Inertia Tensor,Kinematic Quantity,Dynamic Angular Quantity,Gyroscopic Constant,Rotational Kinematics Formula
\boldsymbol{\alpha}=\frac{\mathbf r\times \mathbf a}{r^2}-\frac{2}{r}\frac{dr}{dt}\boldsymbol{\omega},acceleration (Q11376),Lenz's Law,Lorentz Transformation,Curl Theorem,Angular Velocity,Centripetal Acceleration,Rotational Kinematics,Gyroscopic Moment,Euler's Equations,Vortex Line Density,Helical Motion
\boldsymbol{\alpha},acceleration (Q11376),alpha,spin wave function,fine structure constant,gyromagnetic ratio,magnetic moment,g-factor,Dirac's gamma matrices,Lorentz factor,fine-structure splitting,Landé g-factor
\boldsymbol{\omega},angular velocity (Q161635),Angular Frequency,Rotation Speed,Angular Velocity Magnitude,Angular Momentum Parameter,Omega Symbol,Angular Kinetic Energy,Rotational Inertia Coefficient,Planetary Orbital Period,Geodesic Deviation Factor,Riemann Curvature Tensor
\boldsymbol{\tau} = mr^2(\boldsymbol{\alpha}+\frac{2}{r}\frac{dr}{dt}\boldsymbol{\omega})\\\\=mr^2\boldsymbol{\alpha}+2mr\frac{dr}{dt}\boldsymbol{\omega}.,torque (Q48103),Euler-Newton Parameter,Angular Momentum Equation,Precession Torque Formula,Torsion Tensor Equation,Classical Precession Formula,Rotational Kinematics Formula,Routh's Criterion Equation,Spin-Orbit Interaction Term,Lagrangian Pointing Vector,Gyroscopic Precession Law
\boldsymbol{\tau} = mr^2\boldsymbol{\alpha},torque (Q48103),**Torque**,**Angular Momentum**,**Rotational Inertia**,**Moment of Inertia**,**Radian Measure**,**Tangential Acceleration**,**Kinetic Energy**,**Potential Energy**,**Lagrangian Mechanics**,**Euler's Rotation Theorem**
mr^2,term (N/A),Area,Moment of Inertia,Centroid,Radius of Gyration,Second moment,Polar moment,Rotational inertia,Quadratic mean radius,Riemann curvature tensor,Eshelby's inclusion tensor
\boldsymbol{\bar{v}} = \frac{\Delta\boldsymbol{x}}{\Delta\mathit{t}} .,velocity (Q11465),Velocity,Average velocity,Instantaneous velocity,Mean velocity,Displacement over time ratio,Speed over time,Change in position per change in time,Rate of change of position,Tangential velocity component,Translational velocity
"\boldsymbol{\bar{v}} = {1 \over t_1 - t_0 } \int_{t_0}^{t_1} \boldsymbol{v}(t) \ dt ,",velocity (Q11465),Mean Velocity Formula,Average Velocity Expression,Displacement-Time Formula,Time-Averaged Velocity Equation,Instantaneous Velocity Integral,Position-Time Derivative Formula,Velocity-Time Averaging Formula,Linearity of Velocity Formula,Euler's Velocity Integrator,Kinematical Mean Velocity Expression
\boldsymbol{v} = \lim_{{\Delta t}\to 0} \frac{\Delta \boldsymbol{x}}{\Delta t} = \frac{d\boldsymbol{x}}{d\mathit{t}} .,velocity (Q11465),Derivative,Velocity,Limit,Instantaneous velocity,Tangent,Rate of change,Time derivative,Differential quotient,Speed,Acceleration
\boldsymbol{x} = \int \boldsymbol{v} \ d\mathit{t} .,displacement (Q190291),Velocity,Position,Kinetic Energy,Displacement,Momentum,Acceleration,Work-Energy Theorem,Integration of Velocity with Respect to Time,Time-Dependent Integral of Velocity,Total Change in Velocity
\boldsymbol{a} = \frac{d\boldsymbol{v}}{d\mathit{t}} .,acceleration (Q11376),Acceleration,Velocity Change Rate,Derivative of Velocity with Respect to Time,dv/dt,Kinematic Acceleration,Material Acceleration,Dynamic Acceleration,Temporal Acceleration,Instantaneous Acceleration,Spatial-Temporal Acceleration
\boldsymbol{v} = \int \boldsymbol{a} \ d\mathit{t} .,velocity (Q11465),**Velocity Integral**,**Acceleration Integral**,**Line Integral of Acceleration**,**Integral of Acceleration**,**Kinematic Momentum**,**Force Integral**,**Particle Motion Integral**,**Accelerated Motion Integral**,**Force Accumulation Integral**,**Vector Accretion Integral**
\boldsymbol{v} = \boldsymbol{u} + \boldsymbol{a}t,velocity (Q11465),Equation of Motion,Velocity Update Rule,Acceleration Formula,Kinematics Equation,Position-Time Relation,Vector Addition Formula,Time-Derivative Formula,Particle Dynamics Equation,Newton-Euler Equations,Galilean Transformation
\boldsymbol{x} = \frac{(\boldsymbol{u} + \boldsymbol{v})}{2}\mathit{t} = \boldsymbol{\bar{v}}\mathit{t},displacement (Q190291),Midpoint Formula,Average Velocity Formula,Velocity Addition Formula,Relativistic Velocity Formula,Lorentz Transformation,Boost Formula,Time Dilation Formula,Einstein Addition Formula,Spacetime Interval Formula,Minkowski Sum Formula
E_{\text{k}} = \tfrac{1}{2}mv^{2},kinetic energy (Q46276),Kinetic Energy,KE,Ek,Mechanical Energy,Translational Energy,Momentum Energy Relation,Particle Energy Equation,Speed Energy Formula,Mass Velocity Energy,Lagrangian Energy
\boldsymbol{p}=m\boldsymbol{v},momentum (Q41273),Momentum Equation,Linear Momentum Equation,Conservation of Momentum Law,Kinetic Momentum Equation,Momentum Formula,Mass-Velocity Equation,Linear Velocity-Mass Equation,Momentum Conservation Principle,Mass-Velocity Relationship,Momentum-velocity equation
\gamma = \frac{1}{\sqrt{1-\frac{v^{2}}{c^{2}}}},Lorentz factor (Q599404),Lorentz Factor,Gamma Function,Relativity Factor,Speed Ratio,Velocity Correction,Time Dilation Factor,Einstein Coefficient,Proper Time Factor,Spacetime Interval Factor,Riemann-Schwarz Transformation
"v_{\text{e}} = \sqrt{\frac{2GM}{r}} = \sqrt{2gr},",escape velocity (N/A),Escape Velocity,Orbital Velocity,Gravitational Potential Energy,Circular Orbit Speed,Planetary Surface Velocity,Free Fall Velocity,Binding Energy,Keplerian Velocity,Specific Orbitspeed,Hypersurface Velocity
\boldsymbol{v}_{A\text{ relative to }B} = \boldsymbol{v} - \boldsymbol{w},velocity (Q11465),RelativeVelocity,VelocityRelativeTo,VelRelAB,ABRelativeVelocity,VelocityDifference,RelVel,VelocityOfAWithRespectToB,ARelativeToBVel,Vrel,BVelMinusAVel
\boldsymbol{v}=\boldsymbol{v}_T+\boldsymbol{v}_R,velocity (Q11465),Relative Velocity,Total Velocity,Center of Mass Velocity,Reference Frame Velocity,External Velocity,Inertial Frame Velocity,Galilean Transformation,Additive Velocity Law,Composite Velocity Formula,Kinematic Superposition
"L=mrv_T=mr^2\omega\,",angular momentum (N/A),Angular Momentum,Orbital Angular Momentum,Rotational Angular Momentum,Planetary Angular Momentum,Lagrangian Momenta,Rotational Kinetic Energy,Inertial Angular Momentum,Classical Angular Momentum,Euler's Angular Momentum,Routh's Angular Momentum
p = m v.,momentum (Q41273),Momentum Equation,Kinetic Energy Formula,Newton's Second Law,Mass-Momentum Relation,Velocity-Dependent Momentum,Momentum Conservation,p-mv Formula,Classical Mechanics Equation,Linear Momentum Relationship,Relativistic Momentum Formula
"p = p_1 + p_2 \\= m_1 v_1 + m_2 v_2\,.",momentum (Q41273),Conservation of Momentum,Linear Momentum Equation,Momentum Principle,Mass-Momentum Formula,Kinetic Energy and Momentum,p-Equation in Special Relativity,Relativistic Momentum Equation,Momentum Conservation Law,p-Expression for Total Momentum,Galilean Transformation of Momentum
p = \sum_{i} m_i v_i .,momentum (Q41273),Momentum,Kinetic Energy,Total Momentum,System Momenta,Momentum Sum,Particle Momentum,Mass Velocity Product,Momentum Vector,Total Linear Momentum,Mechanical Momentum
p= mv_\text{cm}.,momentum (Q41273),Momentum,Linear momentum,Mass times velocity,mv_product,Total momentum,Mechanical momentum,Velocity-mass product,Kinematic momentum,Classical momentum,Translational momentum
"\Delta p = F \Delta t\,.",Newton's second law of motion (Q2397319),Impulse,Momentum Change,Action,Force-Time Integral,Time-Dependent Momentum,Work-Energy Relation,Linear Momentum Difference,Change in Momentum,Impulsive Force,Dynamic Impulse
F = \frac{dp }{d t}.,Newton's second law of motion (Q2397319),Total Derivative,Differential of Pressure,Partial Derivative of Pressure with Respect to Time,Rate of Change of Pressure,DP/dT,Total Differential of Pressure,Material Derivative of Pressure,Pressure Time Derivative,Partial Derivative Formula for Pressure,Eulerian Derivative of Pressure
"\Delta p = J = \int_{t_1}^{t_2} F(t)\, dt\,.",Newton's second law of motion (Q2397319),Momentum,Work-Energy Theorem,Impulse-Momentum Theorem,Action,Impulse,Force-Work Formula,Kinetic Energy Transfer,Impuse Integral,Work Done Integral,Linear Momentum
"F = \frac{d(mv)}{d t} = m\frac{dv}{d t} = m a,",Newton's second law of motion (Q2397319),Newton's Second Law,Force-Equivalence Principle,Mass-Acceleration Equation,Momentum-Change Formula,Acceleration-Mass Relationship,Velocity-Time-Derivative Formula,Kinematic Equation,Momentum-Rate-of-Change Formula,Dynamics Identity,Euler's Second Law
"\frac{d p_1}{d t} = - \frac{d p_2}{d t},",Newton's third law of motion (N/A),Continuity Equation,Conservation of Mass Equation,Momentum Conservation Law,Mass-Momentum Equivalence Principle,Fluid Continuity Equation,Ideal Fluid Dynamics Formula,Euler's Continuity Equation,Navier-Stokes Continuity Condition,Reynolds Transport Theorem,Generalized Momentum Conservation
\frac{d}{d t} \left(p_1+ p_2\right)= 0.,Newton's laws of motion (N/A),Total Derivative Rule,Sum Rule of Differentiation,Sum Product Rule,Derivative of Sum Identity,Composite Function Rule,Product Rule Extension,Chain Rule Simplification,Multivariable Product Rule,Linear Combination Rule,Vector Field Gradient
m_1 u_{1} + m_2 u_{2} = m_1 v_{1} + m_2 v_{2}.,momentum conservation (Q2305665),Conservation of Momentum,Linear Momentum Equation,Momentum Conservation Law,Mass-Momentum Relation,Classical Mechanics Formula,Newton's Second Law (component-wise),Kinetic Energy-Momentum Relation,Momentum Transfer Principle,Impulse-Momentum Theorem,Mass-velocity Equivalence
"x' = x - ut\,.",Galileian transformation (N/A),Galilean Transformation,Coordinate Transformation,Relative Motion Equation,Time Dilation Formula,Boosted Frame Equation,Inertial Frame Equation,Spatial Separation Equation,Covariant Derivative Equation,Relativistic Transformation,Kinematic Equation
"v' = \frac{dx'}{dt} = v-u\,.",Galilean transformation (N/A),Relative Velocity,Galilean Transformation,Reference Frame Change,Kinematic Relativity,Velocity Difference Formula,Inertial Coordinate Transfer,Relative Motion Equation,Change of Basis Formula,Coordinate System Transformation,Transport Theorem
"a' = \frac{dv'}{dt} = a\,.",Galilean transformation (N/A),Acceleration,Euler-Lagrange Equation,Lagrangian Mechanics,Newton's Second Law,Kinematic Equation,Velocity-Time Relation,Constant Acceleration,Galilean Invariance,Equivalence Principle,Frenet-Serret Formulas
\mathbf{p}= m \mathbf{v},momentum (Q41273),Momentum Equation,Linear Momentum,Pseudomomentum,Mass-Momentum Relation,Kinetic Momentum,Dynamic Momentum,Mechanical Momentum,Relativistic Momentum,Lagrangian Momentum,Newtonian Momentum
F = m(t) \frac{dv}{dt} + v(t) \frac{dm}{dt}.,Newton's second law of motion (Q2397319),EulerEquation,LagrangeEquation,MomentumConservation,EnergyMomentumTensor,NewtonsSecondLaw,ContinuityEquation,ReynoldsTransportTheorem,KirchhoffLaws,NavierStokesEquation,GreenGaussFormula
"F = m(t) \frac{dv}{dt} - u \frac{dm}{dt},",Newton's second law of motion (Q2397319),Euler-Lagrange Equation,Energy-Momentum Tensor,Continuity Equation,Momentum Equation,Work-Energy Theorem,Newton's Law of Motion,Mass-Flow Rate Equation,Kinetic Energy Equation,Bernoulli's Principle,D'Alembert's Principle
P(t+dt) = ( m - dm ) ( v + dv ) + dm ( v - u ) = mv+m dv - u dm = P(t) +m dv - u dm,momentum (Q41273),**Conservation of Momentum**,**Momentum Equation**,**Kinetic Momentum Relation**,**Linear Momentum Law**,**Mass-Momentum Conservation**,**Pulse Propagation Formula**,**Particle Momentum Balance**,**Fluid Dynamics Momentum Equation**,**Continuity Equation for Momentum**,**Newtonian Momentum Conservation**
t' = t  \\  x' = x - v t,Galilean transformation (N/A),Lorentz Transformation,Galilean Transformation,Time Dilation Equation,Length Contraction Formula,Special Relativity Equations,Space-Time Coordinate Transformation,Minkowski Metric,Einstein's Velocity Transformation,Covariant Coordinate Transformation,Geodesic Equation
"t' = \gamma \left( t - \frac{v x}{c^2} \right)  \\  x' = \gamma \left( x - v t \right)\,",Lorentz transformation (Q217255),Lorentz Transformation,Time Dilation Formula,Special Relativity Equation,Velocity Transformation,Length Contraction Formula,Space-Time Coordinate Transformation,Einstein's Transformation Equations,Gamma Factor Equation,Relativistic Coordinate Transformation,Minkowski Space-Time Transformation
"\mathbf{p} = \gamma m_0 \mathbf{v}\,,",momentum (Q41273),LorentzFactor,RelativisticVelocity,GammaFactor,FourVelocity,BoostVector,VelocityBoost,RapidityComponent,ProperVelocity,LorentzTransformedVelocity,MinkowskiVelocity
"\mathbf{F} = \frac{d \mathbf{p}}{dt}\,.",Newton's second law of motion (Q2397319),Momentum,Impulse,Linear Momentum,Rate of Change of Momentum,Momentum Flux,Newton's Second Law,Acceleration-Momentum Relation,Force-Momentum Equation,Mass Flow Rate and Momentum,Euler's Momentum Theorem
"\mathbf{U} \equiv \frac{d \mathbf{R}}{d \tau} = \gamma \frac{d \mathbf{R}}{dt}\,,",four-velocity (N/A),Lorentz Transformation,Velocity Addition Formula,Time Dilation Equation,Lorentz Factor Equation,Special Relativity Transformation,Riemannian Tensor Transformation,Gamma Factor Equation,Spacetime Coordinate Transformation,Proper Time Derivative Formula,Minkowski Metric Transformation
"\mathbf{P} = m_0\mathbf{U}\,,",four-momentum (Q1068463),Proper Lorentz Transformation,Poincaré Transformation,Lorentz Boost Matrix,Minkowski Transformation,Special Relativity Transformation,Lorentz Transformation Matrix,Geometric Lorentz Transformation,Covariant Lorentz Transformation,Einstein's Transformation Formula,Generalized Lorentz Transformation
"\mathbf{P} = \gamma m_0 \left(c,\mathbf{v}\right) = (m c,\mathbf{p})\,.",four-momentum (Q1068463),Lorentz factor,Relativistic mass,Energy-momentum equation,Minkowski metric,Boost factor,Rapidity,Proper momentum,4-momentum,Kinetic energy correction,Invariant mass
"\mathbf{P} = \left(\frac{E}{c}, \mathbf{p}\right)\,.",four-momentum (Q1068463),Four-Momentum,Energy-Momentum Tensor,Relativistic Momentum Vector,Total Energy Vector,Four-Vector Notation,Special Relativity Momentum,Lorentz-Invariant Momentum,Covariant Momentum Expression,Quantum Field Theory Momentum,Dirac-Pauli Energy-Momentum
"E = pc\,.",relativistic energy-momentum relationship (N/A),Einstein Field Equation,Einstein Mass-Energy Equivalence,Energy-Mass Relation,Special Relativity Formula,Mass-Energy Equivalence,PC Formula ( simplest version),Mass-Energy Conversion,Energy Density Equation,E=mc^2 (commonly known as Einstein's Mass-Energy Equivalence),Relativistic Energy-Mass Relation
"\mathbf{P} = \left(\frac{E}{c},\vec{\mathbf{p}}\right) = \hbar \mathbf{K} = \hbar \left(\frac{\omega}{c},\vec{\mathbf{k}}\right)",energy-momentum relationship (N/A),Energy-Momentum Four-Vector,Wave Vector,Momentum-Energy Tensor,Photon Momentum,Quantum Wave Number,Planck-Wave Number,De Broglie Vectors,Quasi-Momentum Operator,Momentum-Phase Vector,Wave-Packet Representation
\mathcal{,lagrange (N/A),Laplace,Poisson,Fourier,Lagrange,Cauchy,Dirac,Klein-Gordon,Schrödinger,Bessel,Euler
"\mathcal{L}  = T-V\,.",lagrange (N/A),Lagrangian,Langrange Function,Action Functional,Hamilton Principle,Euler-Lagrange Equation,Lagrange Density,Total Energy,Potential Energy,Legendre Transformation,Noether's Theorem
"\frac{d}{d t}\left(\frac{\partial \mathcal{L} }{\partial\dot{q}_j}\right) - \frac{\partial \mathcal{L}}{\partial q_j} = 0\,.",Euler-Lagrange equation (N/A),Euler-Lagrange equation,EL equations,Lagrange dynamics,Derivative of Lagrangian,Field equation,Variational principle equation,Hamilton's principle equation,Classical mechanics equation,Action minimization condition,Lagrange multiplier equation
"\mathcal{H}\left(\mathbf{q},\mathbf{p},t\right) = \mathbf{p}\cdot\dot{\mathbf{q}} - \mathcal{L}\left(\mathbf{q},\dot{\mathbf{q}},t\right)\,,",hamiltonian (N/A),Hamiltonian,Lagrangian Density,Canonical Momentum,Poisson Bracket,Action-Angle Variables,Liouville's Equation,Symplectic Form,Poincaré-Cartan Integral,Hamilton-Jacobi Equation,Legendre Transform
"\dot{q}_i = \frac{\partial\mathcal{H}}{\partial p_i}\\-\dot{p}_i = \frac{\partial\mathcal{H}}{\partial q_i}\\-\frac{\partial \mathcal{L}}{\partial t} = \frac{d \mathcal{H}}{d t}\,.",momentum (Q41273),Hamilton's Equations,Euler-Lagrange Equation,Lagrangian Dynamics,Hamilton-Jacobi Equation,Canonical Transformation,Noether's Theorem,Poisson Bracket Equation,Symplectic Formulation,Variational Principle,Action-Angle Variables
