Identifier / Formula,Name
\mathbf{T} =  \iiint\limits_{Q} (\mathbf{r}-\mathbf{R})\times \mathbf{f}(\mathbf{r})dV = \iiint\limits_{Q} (\mathbf{r}-\mathbf{R})\times   (-g\rho(\mathbf{r})dV\vec{k} )= \left(\iiint\limits_{Q} \rho(\mathbf{r}) (\mathbf{r}-\mathbf{R})dV \right)\times   (-g\vec{k}) .,torque (Q48103)
"\mathbf{r}_i = (\mathbf{r}_i - \mathbf{R}) + \mathbf{R}, \quad \mathbf{v}_i = \frac{d}{dt}(\mathbf{r}_i - \mathbf{R}) + \mathbf{v}.",position (N/A)
"\mathbf{p} = \frac{d}{dt}\left(\sum_{i=1}^n m_i (\mathbf{r}_i - \mathbf{R})\right) + \left(\sum_{i=1}^n m_i\right) \mathbf{v},",momentum (Q41273)
\mathbf{L} = \sum_{i=1}^n m_i (\mathbf{r}_i-\mathbf{R})\times \frac{d}{dt}(\mathbf{r}_i - \mathbf{R}) + \left(\sum_{i=1}^n m_i \right) \left[\mathbf{R} \times \frac{d}{dt}(\mathbf{r}_i - \mathbf{R}) + (\mathbf{r}_i - \mathbf{R}) \times \mathbf{v} \right] + \left(\sum_{i=1}^n m_i \right)\mathbf{R} \times \mathbf{v},angular momentum (Q161254)
"\mathbf{p} = m\mathbf{v},\quad \mathbf{L} = \sum_{i=1}^n m_i (\mathbf{r}_i-\mathbf{R})\times \frac{d}{dt}(\mathbf{r}_i - \mathbf{R}) + \sum_{i=1}^n m_i \mathbf{R} \times \mathbf{v}",momentum (Q41273)
"\mathbf{T}= (\mathbf{r}_1-\mathbf{R})\times\mathbf{F}_1+(\mathbf{r}_2-\mathbf{R})\times\mathbf{F}_2+(\mathbf{r}_3-\mathbf{R})\times\mathbf{F}_3=0,",torque (Q48103)
\mathbf{R}^* =-\frac{1}{W} \mathbf{\hat{k}}\times(\mathbf{r}_1\times\mathbf{F}_1+\mathbf{r}_2\times\mathbf{F}_2+\mathbf{r}_3\times\mathbf{F}_3).,center of mass (Q2945123)
\omega = \frac {2 \pi}{T} = 2\pi f = \frac{d\theta}{dt} \,angular velocity (Q161635)
v = \frac{2 \pi r}{T} = \omega r,velocity (Q11465)
\alpha = \frac{d\omega}{dt},acceleration (Q11376)
"\theta = 2 \pi \frac{t}{T} = \omega t\,",velocity (Q11465)
\vec{v}(t) = \frac{d}{dt} \vec{r}(t) = \frac{d R}{dt} \hat{u}_R(t) + R \frac{d \hat{u}_R}{dt} \ .,velocity (Q11465)
"F_{net} = ma\, \\  F_{net} = ma_r\, \\  F_{net} = \frac{mv^2}{r}\, \\  F_{net} = F_c\,",force (Q11402)
\mathbf{s} = \mathbf{v}t,uniform motion (Q376742)
A =\begin{bmatrix}  \cos \theta  -\sin \theta\\  \sin \theta   \cos \theta\end{bmatrix},rotation (Q107617)
"\vec F = -k \vec x,",Hooke's law (Q170282)
F = m a = m \frac{\mathrm{d}^2x}{\mathrm{d}t^2} = m\ddot{x} = -k x.,Newton's second law of motion (Q2397319)
"x(t) = A \cos(\omega t + \varphi),",Spherical pendulum (Q3299367)
\omega = \sqrt{\frac k m}.,angular frequency (Q834020)
U = \frac 1 2 kx^2.,elastic energy (Q891408)
"F = - kx - c\frac{\mathrm{d}x}{\mathrm{d}t} = m \frac{\mathrm{d}^2x}{\mathrm{d}t^2},",Newton's second law of motion (Q2397319)
\omega_0 = \sqrt{\frac k m},angular frequency (Q834020)
\zeta = \frac{c}{2\sqrt{mk}},damping (Q1127660)
F(t)-kx-c\frac{\mathrm{d}x}{\mathrm{d}t}=m\frac{\mathrm{d}^2x}{\mathrm{d}t^2}.,Newton's second law of motion (Q2397319)
"z(t) = A \mathrm{e}^{-\zeta \omega_0 t} \sin \left( \sqrt{1 - \zeta^2} \omega_0 t + \varphi \right),",oscillations (N/A)
"x(t) = 1 - \mathrm{e}^{-\zeta \omega_0 t} \frac{\sin \left( \sqrt{1 - \zeta^2} \omega_0 t + \varphi \right)}{\sin(\varphi)},",phase (N/A)
Z_m = \sqrt{\left(2\omega_0\zeta\right)^2 + \frac{1}{\omega^2} (\omega_0^2 - \omega^2)^2},mechanical impedance (Q6421317)
\frac{\mathrm{d}^2q}{\mathrm{d} \tau^2} + 2 \zeta \frac{\mathrm{d}q}{\mathrm{d}\tau} + q = 0,equation of motion (N/A)
\frac{\mathrm{d}^2q}{\mathrm{d} \tau^2} + 2 \zeta \frac{\mathrm{d}q}{\mathrm{d}\tau} + q = \cos(\omega \tau).,equation of motion (N/A)
q_t (\tau) = \begin{cases} \mathrm{e}^{-\zeta\tau} \left( c_1 \mathrm{e}^{\tau \sqrt{\zeta^2 - 1}} + c_2 \mathrm{e}^{- \tau \sqrt{\zeta^2 - 1}} \right)  \zeta gt; 1 \text{ (overdamping)} \\ \mathrm{e}^{-\zeta\tau} (c_1+c_2 \tau) = \mathrm{e}^{-\tau}(c_1+c_2 \tau)  \zeta = 1 \text{ (critical damping)} \\ \mathrm{e}^{-\zeta \tau} \left[ c_1 \cos \left(\sqrt{1-\zeta^2} \tau\right) + c_2 \sin\left(\sqrt{1-\zeta^2} \tau\right) \right]  \zeta lt; 1 \text{ (underdamping)}\end{cases},equations of motion (N/A)
-\omega^2 A + 2 \zeta \mathrm{i} \omega A + A = \mathrm{e}^{-\mathrm{i} \varphi} = \cos\varphi - \mathrm{i} \sin\varphi.,amplitude (N/A)
\frac{d^2\theta}{dt^2} + \frac{g}{l}\sin\theta = 0.,pendulum (Q20702)
"\theta(t) = \theta_0 \cos\left(\sqrt{\frac{g}{l}} t\right),",period (Q3382125)
"\vec \jmath(t) = \frac{\mathrm{d} \vec a(t)}{\mathrm{d}t} = \frac{\mathrm{d}^2 \vec v(t)}{\mathrm{d}t^2} = \frac{\mathrm{d}^3 \vec r(t)}{\mathrm{d}t^3} ,",jerk (Q497332)
F = m \cdot a,Newton's second law of motion (Q2397319)
\omega(t)=\dot\theta(t)=\frac{\mathrm {d}\theta(t)} {\mathrm {d}t},angular velocity (Q161635)
"\alpha(t)=\dot\omega(t)=\frac{\mathrm {d}\omega(t)} {\mathrm {d} t},",angular acceleration (Q186300)
"\zeta(t) = \dot {\alpha}(t) =\ddot\omega(t) = \overset{...}{ \theta}(t),",jerk (Q497332)
\vec {\alpha}(t) = \frac {\mathrm {d}} {\mathrm {d} t} \vec {\Omega}(t)= \dot {\vec \Omega}(t),angular acceleration (Q186300)
\vec \zeta(t) = \frac {\mathrm {d}}{\mathrm {d}t}\vec{\alpha}(t)=\dot{\vec\alpha}(t),jerk (Q497332)
"v = \frac{d}{t},",speed (Q3711325)
"v = \left|\boldsymbol v\right| = \left|\dot {\boldsymbol r}\right| = \left|\frac{d\boldsymbol r}{dt}\right|\,.",speed (Q3711325)
v = \frac{ds}{dt}.,speed (Q3711325)
"d = \boldsymbol{\bar{v}}t\,.",speed (Q3711325)
"v \propto \!\, r \omega\,,",tangential velocity (N/A)
"v = r\omega\,.",tangential velocity (N/A)
W = F s \cos{\theta},work (Q42213)
W = F s,work (Q42213)
"W = \int_C F\,ds",work (Q42213)
"W =  \int_{t_1}^{t_2}\mathbf{F} \cdot \mathbf{v}dt =  \int_{t_1}^{t_2}\mathbf{F} \cdot {\tfrac{d\mathbf{s}}{dt}}dt =\int_C \mathbf{F} \cdot d\mathbf{s},",work (Q42213)
W = \int_C \mathbf{F} \cdot d\mathbf{s} = Fs\cos\theta.,work (Q42213)
W = \int_{a}^{b} \mathbf{F(s)} \cdot d\mathbf{s},work (Q42213)
"dW = \mathbf{T}\cdot\vec{\omega}dt,",work (Q42213)
W =  \int_{t_1}^{t_2}\mathbf{T}\cdot\vec{\omega}dt.,work (Q42213)
"\mathbf{T}=\tau\mathbf{S},",torque (Q48103)
W=Fs = Fr\phi .,work (Q42213)
"W = \int_C \mathbf{F} \cdot d\mathbf{x} =  \int_{t_1}^{t_2}\mathbf{F}\cdot \mathbf{v}dt,",work (Q42213)
W = \int_C \mathbf{F} \cdot \mathrm{d}\mathbf{x} =  \int_{\mathbf{x}(t_1)}^{\mathbf{x}(t_2)} \mathbf{F} \cdot \mathrm{d}\mathbf{x} =  U(\mathbf{x}(t_1))-U(\mathbf{x}(t_2)).,work (Q42213)
"\nabla W =  -\nabla U= -\left(\frac{\partial U}{\partial x}, \frac{\partial U}{\partial y}, \frac{\partial U}{\partial z}\right) = \mathbf{F},",force (Q11402)
P(t) = -\nabla U \cdot \mathbf{v} = \mathbf{F}\cdot\mathbf{v}.,power (Q25342)
W = F_g (y_2 - y_1) = F_g\Delta y = - mg\Delta y,work (Q42213)
"\mathbf{F}=-\frac{GMm}{r^3}\mathbf{r},",force (Q11402)
"U=-\frac{GMm}{r},",gravitational potential (N/A)
W=-\int^{\mathbf{r}(t_2)}_{\mathbf{r}(t_1)}\frac{GMm}{r^3}\mathbf{r}\cdot d\mathbf{r}=-\int^{t_2}_{t_1}\frac{GMm}{r^3}\mathbf{r}\cdot\mathbf{v}dt.,work (Q42213)
W=\int_0^t\mathbf{F}\cdot\mathbf{v}dt =-\int_0^tkx v_x dt = -\frac{1}{2}kx^2.,work (Q42213)
W=\int_a^b{P}dV,work (Q42213)
W=\Delta E_k=\tfrac12mv_2^2-\tfrac12mv_1^2,work (Q42213)
F = M g.,gravitational force (Q11412)
F = m a.,Newton's second law of motion (Q2397319)
a=\frac{M}{m}g.,gravitational acceleration (Q30006)
\mu=4\pi^2\frac{\text{distance}^3}{\text{time}^2}\propto\text{gravitational mass},free fall (Q140028)
1.2\pi^2\cdot10^{-5}\frac{\text{AU}^3}{\text{y}^2}=3.986\cdot10^{14}\frac{\text{m}^3}{\text{s}^2},acceleration (Q11376)
\mathbf{g}=-\mu\frac{\hat{\mathbf{R}}}{|\mathbf{R}|^2},gravitational acceleration (Q30006)
\mathbf{F}_{\text{AB}}=-GM_{\text{A}}M_{\text{B}}\frac{\hat{\mathbf{R}}_{\text{AB}}}{|\mathbf{R}_{\text{AB}}|^2}\,gravitational force (Q11412)
F=Mg,Newton's second law of motion (Q2397319)
"\mathbf{F}=m \mathbf{a},",Newton's second law (N/A)
"\mathbf{F_{12}}  =m_1\mathbf{a}_1,\\\mathbf{F_{21}}  =m_2\mathbf{a}_2,",Newton' s second law (N/A)
\mathbf{F}_{12}=-\mathbf{F}_{21};,Newton's third law of motion (Q3235565)
\mathbf{p}=m\mathbf{v},momentum (Q41273)
K=\dfrac{1}{2}m|\mathbf{v}|^2,kinetic energy (Q46276)
\gamma = \frac{1}{\sqrt{1 - v^2/c^2}},Lorentz factor (Q599404)
(m_\mathrm{rest})c^2=\sqrt{E_\mathrm{total}^2-(|\mathbf{p}|c)^2}.\!,rest mass (Q96941619)
E_\mathrm{rest}=(m_\mathrm{rest})c^2\!,rest energy (Q11663629)
E_\mathrm{total}=(m_\mathrm{relative})c^2\!,mass-energy equivalence (Q35875)
"\frac{\mathrm{d}}{\mathrm{d}t} \ \left( \, \frac{\partial L}{\partial \dot{x}_i} \, \right) \ = \ m \, \ddot{x}_i",operator (Q2597952)
"i\hbar\frac{\partial}{\partial t} \Psi(\mathbf{r},\,t) =  \left(-\frac{\hbar^2}{2m}\nabla^2 + V(\mathbf{r})\right)\Psi(\mathbf{r},\,t)",Dirac equation (Q272621)
"(-i\gamma^\mu\partial_\mu + m) \psi = 0\,",Dirac equation in curved spacetime (Q16853908)
E^2 = p^2c^2 + m^2c^4 \;,energy-momentum relation (N/A)
G_{\psi} \overline{\psi} \phi \psi,tachyons (N/A)
"M\left[\mathbf{r}(t),\mathbf{\dot{r}}(t),\mathbf{\ddot{r}}(t),t\right]=0\,,",differential equation (N/A)
"\mathbf{r}(0) \,, \quad \mathbf{\dot{r}}(0) \,.",initial conditions (N/A)
"\mathbf{v} = \frac{d \mathbf{r}}{d t} \,, \quad \mathbf{a} = \frac{d \mathbf{v}}{d t} = \frac{d^2 \mathbf{r}}{d t^2} \,\!",definitions (N/A)
"\boldsymbol{\theta} = \theta \hat{\mathbf{n}} \,,\quad  \boldsymbol{\omega} = \frac{d \boldsymbol{\theta}}{d t} \,, \quad \boldsymbol{\alpha}= \frac{d \boldsymbol{\omega}}{d t} \,,",rotation (Q107617)
"\mathbf{v} = \boldsymbol{\omega}\times \mathbf{r} \,\!",velocity (Q11465)
v  = at+v_0 \quad [1]\\,velocity (Q11465)
r  = r_0 + v_0 t + \tfrac12 {a}t^2 \quad [2]\\,position (N/A)
r  = r_0 + \tfrac12 \left( v+v_0 \right )t \quad [3]\\v^2  = v_0^2 + 2a\left( r - r_0 \right) \quad [4]\\r  = r_0 + vt - \tfrac12 {a}t^2 \quad [5]\\,equations of motion (N/A)
"\mathbf{v}  = \int \mathbf{a} dt = \mathbf{a}t+\mathbf{v}_0 \,, \quad [1] \\ \mathbf{r}  = \int (\mathbf{a}t+\mathbf{v}_0) dt = \frac{\mathbf{a}t^2}{2}+\mathbf{v}_0t +\mathbf{r}_0 \,, \quad [2] \\",equations of motion (N/A)
"v  = at+v_0 \,, \quad [1] \\ r  = \frac{{a}t^2}{2}+v_0t +r_0 \,. \quad [2] \\",velocity (Q11465)
\mathbf{a} = \frac{(\mathbf{v} - \mathbf{v}_0)}{t},acceleration (Q11376)
\mathbf{F} = m\mathbf{a},Newton's second law of motion (Q2397319)
\mathbf{F} = \frac{d\mathbf{p}}{dt},Newton's second law of motion (Q2397319)
"\mathbf{r} =\mathbf{r}\left ( r(t),\theta(t) \right ) = r \mathbf{\hat{e}}_r",position (N/A)
\mathbf{v} = \mathbf{\hat{e}}_r \frac{d r}{dt} + r \omega \mathbf{\hat{e}}_\theta,velocity (Q11465)
\mathbf{a} =\left ( \frac{d^2 r}{dt^2} - r\omega^2\right )\mathbf{\hat{e}}_r + \left ( r \alpha + 2 \omega \frac{dr}{dt} \right )\mathbf{\hat{e}}_\theta,acceleration (Q11376)
"\frac{d\mathbf{p}_i}{dt} = \mathbf{F}_{E} + \sum_{i \neq j} \mathbf{F}_{ij} \,\!",Newton's second law of motion (Q2397319)
"\boldsymbol{\tau} = \frac{d\mathbf{L}}{dt} \,,",Newton's second law of motion (Q2397319)
"\frac{d\mathbf{L}_i}{dt} = \boldsymbol{\tau}_E + \sum_{i \neq j} \boldsymbol{\tau}_{ij} \,,",Newton's second law of motion (Q2397319)
\frac{d^2\mathbf{r}_i}{dt^2} = G\sum_{i\neq j}\frac{m_i m_j}{|\mathbf{r}_j - \mathbf{r}_i|^3} (\mathbf{r}_j - \mathbf{r}_i),Newton's second law of motion (Q2397319)
"\frac{d}{d t} \left ( \frac{\partial L}{\partial \mathbf{\dot{q}} } \right ) = \frac{\partial L}{\partial \mathbf{q}} \,,",Euler-Lagrange equation (N/A)
"- \frac{\partial S(\mathbf{q},t)}{\partial t} = H\left(\mathbf{q}, \mathbf{p}, t \right) \,.",Hamilton-Jacobi equation (N/A)
"\mathbf{F} = q\left(\mathbf{E} + \mathbf{v} \times \mathbf{B}\right) \,\!",Lorentz force (Q172137)
L=\tfrac12 m \mathbf{\dot{r}}\cdot\mathbf{\dot{r}}+q\mathbf{A}\cdot\dot{\mathbf{r}}-q\phi,Lagrangian (N/A)
"H = \frac{\left(\mathbf{P} - q \mathbf{A}\right)^2}{2m} + q\phi \,\!",hamiltonian (N/A)
ds = \sqrt{g_{\alpha\beta} d x^\alpha dx^\beta},line (Q1228250)
\sum \mathbf{F} = 0\; \Leftrightarrow\; \frac{\mathrm{d} \mathbf{v} }{\mathrm{d}t} = 0.,Newton's second law of motion (Q2397319)
\mathbf{F} = \frac{\mathrm{d}\mathbf{p}}{\mathrm{d}t} = \frac{\mathrm{d}(m\mathbf v)}{\mathrm{d}t}.,Newton' s second law of motion (Q2397319)
"\mathbf{J} = \int_{\Delta t} \mathbf F \,\mathrm{d}t~.",impulse (N/A)
