Identifier / Formula,Name
"a = -\omega^2 x, ",acceleration (Q11376)
a,acceleration (Q11376)
 a = -4 \pi^2 f^2 x. ,acceleration (Q11376)
x,displacement (Q190291)
k,constant (Q188248)
m,mass (Q11423)
" \omega = \sqrt{\frac{k}{m}}, ",angular frequency (Q834020)
C,capacitance (N/A)
L,impedance (Q179043)
\omega = \sqrt{\frac{1}{LC}}.,angular frequency (Q834020)
tau,torque (Q48103)
r,distance (Q126017)
F,force (Q11402)
theta,angle (Q11352)
"\boldsymbol \tau = \mathbf{r}\times \mathbf{F}\,\!",torque (Q48103)
"\tau = \|\mathbf{r}\|\,\|\mathbf{F}\|\sin \theta\,\!",torque (Q48103)
"\boldsymbol{\tau} = \mathbf{r} \times \mathbf{F},",torque (Q48103)
"\tau = rF\sin\theta,\!",torque (Q48103)
"\tau = rF_{\perp},",torque (Q48103)
L,angular momentum (N/A)
omega,angular velocity (Q161635)
I,moment of inertia (Q165618)
t,time (Q11471)
\boldsymbol{\tau} = \frac{\mathrm{d}\mathbf{L}}{\mathrm{d}t},torque (Q48103)
alpha,angular acceleration (Q186300)
m,mass (Q11423)
"\mathbf{L} = I\boldsymbol{\omega},",angular momentum (N/A)
"\boldsymbol{\tau}_{\mathrm{net}} = \frac{\mathrm{d}\mathbf{L}}{\mathrm{d}t} = \frac{\mathrm{d}(I\boldsymbol{\omega})}{\mathrm{d}t} = I\frac{\mathrm{d}\boldsymbol{\omega}}{\mathrm{d}t} + \frac{\mathrm{d}I}{\mathrm{d}t}\boldsymbol{\omega} = I\boldsymbol{\alpha} + \frac{\mathrm{d}(mr^2)}{\mathrm{d}t}\boldsymbol{\omega} = I\boldsymbol{\alpha} + 2rp_{||}\boldsymbol{\omega},",torque (Q48103)
\mathbf{L} = \mathbf{r} \times \boldsymbol{p},angular momentum (N/A)
p,momentum (Q41273)
\frac{\mathrm{d}\mathbf{L}}{\mathrm{d}t} = \mathbf{r} \times \mathbf{F}_{\mathrm{net}} =  \boldsymbol{\tau}_{\mathrm{net}}.,torque (Q48103)
\frac{\mathrm{d}\mathbf{L}}{\mathrm{d}t} = \mathbf{r} \times \frac{\mathrm{d}\boldsymbol{p}}{\mathrm{d}t} + \frac{\mathrm{d}\mathbf{r}}{\mathrm{d}t} \times \boldsymbol{p}.,torque (Q48103)
\frac{\mathrm{d}\mathbf{L}}{\mathrm{d}t} = \mathbf{r} \times \mathbf{F} + \mathbf{v} \times \boldsymbol{p}. ,torque (Q48103)
\tau = (\text{moment arm}) (\text{force}).,force (Q11402)
\tau = (\text{distance to centre}) (\text{force}).,force (Q11402)
W,work (Q42213)
" W = \int_{\theta_1}^{\theta_2} \tau\ \mathrm{d}\theta,",work (Q42213)
E,energy (Q11379)
P,power (Q25342)
"E_{\mathrm{r}} = \tfrac{1}{2}I\omega^2,",kinetic energy (Q46276)
"P = \boldsymbol{\tau} \cdot \boldsymbol{\omega},",power (Q25342)
nu,frequency (Q11652)
P = \tau \cdot 2 \pi \cdot \nu,power (Q25342)
pi,constant (Q188248)
\text{power}  = \frac{\text{force} \cdot \text{linear distance}}{\text{time}} \\[6pt] = \frac{\left(\dfrac{\text{torque}} r \right) \cdot (r \cdot \text{angular speed} \cdot t)} t \\[6pt] = \text{torque} \cdot \text{angular speed}.,power (Q25342)
f,frequency (Q11652)
T,period (Q2642727)
f = \frac{1}{T}.,frequency (Q11652)
t,time (Q11471)
theta,angle (Q11352)
omega,angular velocity (Q161635)
pi,constant (Q188248)
y,coordinate (Q12753000)
\frac{\mathrm{d} \theta}{\mathrm{d} t} = \omega = 2 \mathrm{\pi} f,angular velocity (Q161635)
y(t) = \sin\left( \theta(t) \right) =  \sin(\omega t) =  \sin(2 \mathrm{\pi} f t),coordinate (N/A)
"y(t) = \sin\left( \theta(t,x) \right) = \sin(\omega t + kx)",Coordinate (N/A)
k,wavenumber (Q192510)
x,coordinate (Q12753000)
\frac{\mathrm{d} \theta}{\mathrm{d} x} = k,wavenumber (Q192510)
v,phase velocity (Q13824)
c,speed of light (Q2111)
lambda,wavelength (Q41364)
f = \frac{v}{\lambda}.,frequency (Q11652)
f = \frac{c}{\lambda}.,frequency (Q11652)
\displaystyle c=f\lambda,speed of light (Q2111)
R,center of mass (N/A)
"\mathbf{R} = \frac 1M \sum_{i=1}^n m_i \mathbf{r}_i,",center of mass (Q2945123)
m,mass (Q11423)
n,integer (Q12503)
i,integer (N/A)
r,coordinate (Q12753000)
V,volume (Q39297)
"\mathbf R = \frac 1M \iiint\limits_{Q}\rho(\mathbf{r}) \mathbf{r} dV,",center of mass (Q2945123)
rho,density (Q29539)
 \mathbf{R} = \frac{1}{m_1+m_2}(m_1 \mathbf{r}_1 + m_2\mathbf{r}_2).,center of mass (Q2945123)
xi,coordinate (N/A)
zeta,coordinate (N/A)
"\overline{\xi} = \frac 1M \sum_{i=1}^n m_i \xi_i,",center of mass (Q2945123)
"\overline{\zeta} = \frac 1M \sum_{i=1}^n m_i \zeta_i,",center of mass (Q2945123)
theta,angle (Q11352)
x,coordinate (N/A)
" \overline{\theta} = \mathrm{atan2}(-\overline{\zeta},-\overline{\xi}) + \pi ",center of mass (Q2945123)
 x_{com} = x_{max} \frac{ \overline{\theta}}{2 \pi} ,center of mass (Q2945123)
pi,constant (Q188248)
F,force (Q11402)
M,mass (Q11423)
g,gravitational constant (Q18373)
" \mathbf{F} = \iiint\limits_{Q} \mathbf{f}(\mathbf{r})dV =  \iiint\limits_{Q}\rho(\mathbf{r})dV( -g\vec{k}) = -Mg\vec{k},",force (Q11402)
 \mathbf{T} =  \iiint\limits_{Q} (\mathbf{r}-\mathbf{R})\times \mathbf{f}(\mathbf{r})dV = \iiint\limits_{Q} (\mathbf{r}-\mathbf{R})\times   (-g\rho(\mathbf{r})dV\vec{k} )= \left(\iiint\limits_{Q} \rho(\mathbf{r}) (\mathbf{r}-\mathbf{R})dV \right)\times   (-g\vec{k}) .,torque (Q48103)
" \mathbf{r}_i = (\mathbf{r}_i - \mathbf{R}) + \mathbf{R}, \quad \mathbf{v}_i = \frac{d}{dt}(\mathbf{r}_i - \mathbf{R}) + \mathbf{v}.",position (N/A)
p,momentum (Q41273)
" \mathbf{p} = \frac{d}{dt}\left(\sum_{i=1}^n m_i (\mathbf{r}_i - \mathbf{R})\right) + \left(\sum_{i=1}^n m_i\right) \mathbf{v},",momentum (Q41273)
L,angular momentum (Q161254)
 \mathbf{L} = \sum_{i=1}^n m_i (\mathbf{r}_i-\mathbf{R})\times \frac{d}{dt}(\mathbf{r}_i - \mathbf{R}) + \left(\sum_{i=1}^n m_i \right) \left[\mathbf{R} \times \frac{d}{dt}(\mathbf{r}_i - \mathbf{R}) + (\mathbf{r}_i - \mathbf{R}) \times \mathbf{v} \right] + \left(\sum_{i=1}^n m_i \right)\mathbf{R} \times \mathbf{v},angular momentum (Q161254)
t,time (Q11471)
v,velocity (Q11465)
" \mathbf{p} = m\mathbf{v},\quad \mathbf{L} = \sum_{i=1}^n m_i (\mathbf{r}_i-\mathbf{R})\times \frac{d}{dt}(\mathbf{r}_i - \mathbf{R}) + \sum_{i=1}^n m_i \mathbf{R} \times \mathbf{v}",momentum (Q41273)
"\mathbf{T}= (\mathbf{r}_1-\mathbf{R})\times\mathbf{F}_1+(\mathbf{r}_2-\mathbf{R})\times\mathbf{F}_2+(\mathbf{r}_3-\mathbf{R})\times\mathbf{F}_3=0,",torque (Q48103)
 \mathbf{R}^* =-\frac{1}{W} \mathbf{\hat{k}}\times(\mathbf{r}_1\times\mathbf{F}_1+\mathbf{r}_2\times\mathbf{F}_2+\mathbf{r}_3\times\mathbf{F}_3).,center of mass (Q2945123)
theta,angle (Q11352)
omega,angular velocity (Q161635)
pi,constant (Q188248)
f,frequency (Q11652)
t,time (Q11471)
T,period (Q2642727)
\omega = \frac {2 \pi}{T} = 2\pi f = \frac{d\theta}{dt} \ ,angular velocity (Q161635)
r,radius (Q173817)
v,velocity (Q11465)
v = \frac{2 \pi r}{T} = \omega r,velocity (Q11465)
\alpha = \frac{d\omega}{dt},acceleration (Q11376)
"\theta = 2 \pi \frac{t}{T} = \omega t\,",velocity (Q11465)
R,displacement (N/A)
u,vector (N/A)
\vec{v}(t) = \frac{d}{dt} \vec{r}(t) = \frac{d R}{dt} \hat{u}_R(t) + R \frac{d \hat{u}_R}{dt} \ .,velocity (Q11465)
m,mass (Q11423)
a,acceleration (Q11376)
F,force (Q11402)
"  F_{net} = ma\, \\  F_{net} = ma_r\, \\  F_{net} = \frac{mv^2}{r}\, \\  F_{net} = F_c\,",force (Q11402)
v,velocity (Q11465)
t,time (Q11471)
s,displacement (Q190291)
\mathbf{s} = \mathbf{v}t ,uniform motion (Q376742)
theta,angle (Q11352)
A,matrix (Q44337)
lambda,eigenvalue (Q21406831)
A =\begin{bmatrix}  \cos \theta  -\sin \theta\\  \sin \theta   \cos \theta\end{bmatrix},rotation (Q107617)
F,force (Q11402)
k,constant (Q188248)
x,displacement (Q190291)
" \vec F = -k \vec x, ",Hooke's law (Q170282)
m,mass (Q11423)
a,acceleration (Q11376)
t,time (Q11471)
A,amplitude (N/A)
omega,angular velocity (Q161635)
varphi,phase (N/A)
F = m a = m \frac{\mathrm{d}^2x}{\mathrm{d}t^2} = m\ddot{x} = -k x. ,Newton's second law of motion (Q2397319)
" x(t) = A \cos(\omega t + \varphi), ",Spherical pendulum (Q3299367)
\omega = \sqrt{\frac k m}.,angular frequency (Q834020)
T,period (Q2642727)
pi,constant (Q188248)
U,potential energy (N/A)
U = \frac 1 2 kx^2.,elastic energy (Q891408)
c,constant (Q188248)
" F = - kx - c\frac{\mathrm{d}x}{\mathrm{d}t} = m \frac{\mathrm{d}^2x}{\mathrm{d}t^2},",Newton's second law of motion (Q2397319)
zeta,damping (N/A)
\omega_0 = \sqrt{\frac k m},angular frequency (Q834020)
\zeta = \frac{c}{2\sqrt{mk}},damping (Q1127660)
Q,damping (N/A)
F(t)-kx-c\frac{\mathrm{d}x}{\mathrm{d}t}=m\frac{\mathrm{d}^2x}{\mathrm{d}t^2}. ,Newton's second law of motion (Q2397319)
"z(t) = A \mathrm{e}^{-\zeta \omega_0 t} \sin \left( \sqrt{1 - \zeta^2} \omega_0 t + \varphi \right), ",oscillations (N/A)
z,coordinate (Q12753000)
e,constant (Q188248)
" x(t) = 1 - \mathrm{e}^{-\zeta \omega_0 t} \frac{\sin \left( \sqrt{1 - \zeta^2} \omega_0 t + \varphi \right)}{\sin(\varphi)},",phase (N/A)
Z,mechanical impedance (Q6421317)
 Z_m = \sqrt{\left(2\omega_0\zeta\right)^2 + \frac{1}{\omega^2} (\omega_0^2 - \omega^2)^2},mechanical impedance (Q6421317)
tau,time (Q11471)
q,coordinate (N/A)
\frac{\mathrm{d}^2q}{\mathrm{d} \tau^2} + 2 \zeta \frac{\mathrm{d}q}{\mathrm{d}\tau} + q = 0,equation of motion (N/A)
\frac{\mathrm{d}^2q}{\mathrm{d} \tau^2} + 2 \zeta \frac{\mathrm{d}q}{\mathrm{d}\tau} + q = \cos(\omega \tau).,equation of motion (N/A)
q_t (\tau) = \begin{cases} \mathrm{e}^{-\zeta\tau} \left( c_1 \mathrm{e}^{\tau \sqrt{\zeta^2 - 1}} + c_2 \mathrm{e}^{- \tau \sqrt{\zeta^2 - 1}} \right)  \zeta gt; 1 \text{ (overdamping)} \\ \mathrm{e}^{-\zeta\tau} (c_1+c_2 \tau) = \mathrm{e}^{-\tau}(c_1+c_2 \tau)  \zeta = 1 \text{ (critical damping)} \\ \mathrm{e}^{-\zeta \tau} \left[ c_1 \cos \left(\sqrt{1-\zeta^2} \tau\right) + c_2 \sin\left(\sqrt{1-\zeta^2} \tau\right) \right]  \zeta lt; 1 \text{ (underdamping)}\end{cases},equations of motion (N/A)
-\omega^2 A + 2 \zeta \mathrm{i} \omega A + A = \mathrm{e}^{-\mathrm{i} \varphi} = \cos\varphi - \mathrm{i} \sin\varphi.,amplitude (N/A)
V,potential (Q12559031)
theta,angle (Q11352)
\frac{d^2\theta}{dt^2} + \frac{g}{l}\sin\theta = 0.,pendulum (Q20702)
g,gravitational constant (Q18373)
"\theta(t) = \theta_0 \cos\left(\sqrt{\frac{g}{l}} t\right),",period (Q3382125)
l,length (Q36253)
t,time (Q11471)
a,acceleration (Q11376)
v,velocity (Q11465)
r,position (N/A)
"\vec \jmath(t) = \frac{\mathrm{d} \vec a(t)}{\mathrm{d}t} = \frac{\mathrm{d}^2 \vec v(t)}{\mathrm{d}t^2} = \frac{\mathrm{d}^3 \vec r(t)}{\mathrm{d}t^3} ,",jerk (Q497332)
m,mass (Q11423)
F,force (Q11402)
F = m \cdot a,Newton's second law of motion (Q2397319)
omega,angular velocity (Q161635)
theta,angle (Q11352)
alpha,angular acceleration (Q186300)
zeta,jerk (N/A)
\omega(t)=\dot\theta(t)=\frac{\mathrm {d}\theta(t)} {\mathrm {d}t},angular velocity (Q161635)
"\alpha(t)=\dot\omega(t)=\frac{\mathrm {d}\omega(t)} {\mathrm {d} t},",angular acceleration (Q186300)
"\zeta(t) = \dot {\alpha}(t) =\ddot\omega(t) = \overset{...}{ \theta}(t),",jerk (Q497332)
Omega,angular velocity (N/A)
\vec {\alpha}(t) = \frac {\mathrm {d}} {\mathrm {d} t} \vec {\Omega}(t)= \dot {\vec \Omega}(t),angular acceleration (Q186300)
\vec \zeta(t) = \frac {\mathrm {d}}{\mathrm {d}t}\vec{\alpha}(t)=\dot{\vec\alpha}(t),jerk (Q497332)
v,speed (Q3711325)
d,distance (Q126017)
t,time (Q11471)
"v = \frac{d}{t},",speed (Q3711325)
r,coordinate (Q12753000)
"v = \left|\boldsymbol v\right| = \left|\dot {\boldsymbol r}\right| = \left|\frac{d\boldsymbol r}{dt}\right|\,.",speed (Q3711325)
s,distance (Q126017)
v = \frac{ds}{dt}.,speed (Q3711325)
"d = \boldsymbol{\bar{v}}t\,.",speed (Q3711325)
omega,angular velocity (Q161635)
"v \propto \!\, r \omega\,,",tangential velocity (N/A)
"v = r\omega\,.",tangential velocity (N/A)
F,force (Q11402)
theta,angle (Q11352)
W,work (Q42213)
 W = F s \cos{\theta},work (Q42213)
s,displacement (Q190291)
 W = F s,work (Q42213)
" W = \int_C F\,ds",work (Q42213)
" W =  \int_{t_1}^{t_2}\mathbf{F} \cdot \mathbf{v}dt =  \int_{t_1}^{t_2}\mathbf{F} \cdot {\tfrac{d\mathbf{s}}{dt}}dt =\int_C \mathbf{F} \cdot d\mathbf{s},",work (Q42213)
W = \int_C \mathbf{F} \cdot d\mathbf{s} = Fs\cos\theta.,work (Q42213)
 W = \int_{a}^{b} \mathbf{F(s)} \cdot d\mathbf{s},work (Q42213)
omega,angular velocity (Q161635)
t,time (Q11471)
T,kinetic energy (Q46276)
" dW = \mathbf{T}\cdot\vec{\omega}dt,",work (Q42213)
 W =  \int_{t_1}^{t_2}\mathbf{T}\cdot\vec{\omega}dt.,work (Q42213)
tau,torque (Q48103)
" \mathbf{T}=\tau\mathbf{S},",torque (Q48103)
phi,angle (Q11352)
 W=Fs = Fr\phi .,work (Q42213)
" W = \int_C \mathbf{F} \cdot d\mathbf{x} =  \int_{t_1}^{t_2}\mathbf{F}\cdot \mathbf{v}dt,",work (Q42213)
 W = \int_C \mathbf{F} \cdot \mathrm{d}\mathbf{x} =  \int_{\mathbf{x}(t_1)}^{\mathbf{x}(t_2)} \mathbf{F} \cdot \mathrm{d}\mathbf{x} =  U(\mathbf{x}(t_1))-U(\mathbf{x}(t_2)).,work (Q42213)
U,potential energy (N/A)
x,coordinate (Q12753000)
y,coordinate (Q12753000)
z,coordinate (Q12753000)
" \nabla W =  -\nabla U= -\left(\frac{\partial U}{\partial x}, \frac{\partial U}{\partial y}, \frac{\partial U}{\partial z}\right) = \mathbf{F},",force (Q11402)
P,power (Q25342)
v,velocity (Q11465)
P(t) = -\nabla U \cdot \mathbf{v} = \mathbf{F}\cdot\mathbf{v}.,power (Q25342)
m,mass (Q11423)
W = F_g (y_2 - y_1) = F_g\Delta y = - mg\Delta y,work (Q42213)
r,radius (Q173817)
" \mathbf{F}=-\frac{GMm}{r^3}\mathbf{r},",force (Q11402)
" U=-\frac{GMm}{r}, ",gravitational potential (N/A)
 W=-\int^{\mathbf{r}(t_2)}_{\mathbf{r}(t_1)}\frac{GMm}{r^3}\mathbf{r}\cdot d\mathbf{r}=-\int^{t_2}_{t_1}\frac{GMm}{r^3}\mathbf{r}\cdot\mathbf{v}dt.,work (Q42213)
 W=\int_0^t\mathbf{F}\cdot\mathbf{v}dt =-\int_0^tkx v_x dt = -\frac{1}{2}kx^2. ,work (Q42213)
k,constant (Q188248)
V,volume (Q39297)
 W=\int_a^b{P}dV  ,work (Q42213)
 W=\Delta E_k=\tfrac12mv_2^2-\tfrac12mv_1^2,work (Q42213)
F,force (Q11402)
M,mass (Q11423)
m,mass (Q11423)
a,acceleration (Q11376)
g,gravitational constant (Q18373)
F = M g.,gravitational force (Q11412)
F = m a.,Newton's second law of motion (Q2397319)
a=\frac{M}{m}g.,gravitational acceleration (Q30006)
mu,distance (Q126017)
pi,constant (Q188248)
\mu=4\pi^2\frac{\text{distance}^3}{\text{time}^2}\propto\text{gravitational mass},free fall (Q140028)
1.2\pi^2\cdot10^{-5}\frac{\text{AU}^3}{\text{y}^2}=3.986\cdot10^{14}\frac{\text{m}^3}{\text{s}^2},acceleration (Q11376)
R,radius (Q173817)
\mathbf{g}=-\mu\frac{\hat{\mathbf{R}}}{|\mathbf{R}|^2},gravitational acceleration (Q30006)
\mathbf{F}_{\text{AB}}=-GM_{\text{A}}M_{\text{B}}\frac{\hat{\mathbf{R}}_{\text{AB}}}{|\mathbf{R}_{\text{AB}}|^2}\ ,gravitational force (Q11412)
F=Mg,Newton's second law of motion (Q2397319)
"\mathbf{F}=m \mathbf{a},",Newton's second law (N/A)
"\mathbf{F_{12}}  =m_1\mathbf{a}_1,\\\mathbf{F_{21}}  =m_2\mathbf{a}_2,",Newton' s second law (N/A)
\mathbf{F}_{12}=-\mathbf{F}_{21};,Newton's third law of motion (Q3235565)
p,momentum (Q41273)
v,velocity (Q11465)
\mathbf{p}=m\mathbf{v},momentum (Q41273)
K,kinetic energy (N/A)
K=\dfrac{1}{2}m|\mathbf{v}|^2,kinetic energy (Q46276)
gamma,lorentz factor (Q599404)
c,speed of light (Q2111)
\gamma = \frac{1}{\sqrt{1 - v^2/c^2}},Lorentz factor (Q599404)
E,energy (Q11379)
(m_\mathrm{rest})c^2=\sqrt{E_\mathrm{total}^2-(|\mathbf{p}|c)^2}.\!,rest mass (Q96941619)
E_\mathrm{rest}=(m_\mathrm{rest})c^2\!,rest energy (Q11663629)
 E_\mathrm{total}=(m_\mathrm{relative})c^2\!,mass-energy equivalence (Q35875)
t,time (Q11471)
L,Lagrangian (N/A)
Psi,wavefunction (N/A)
"\frac{\mathrm{d}}{\mathrm{d}t} \ \left( \, \frac{\partial L}{\partial \dot{x}_i} \, \right) \ = \ m \, \ddot{x}_i ",operator (Q2597952)
V,potential (Q12559031)
x,coordinate (Q12753000)
i,number (N/A)
psi,wavefunction (N/A)
r,coordinate (Q12753000)
"i\hbar\frac{\partial}{\partial t} \Psi(\mathbf{r},\,t) =  \left(-\frac{\hbar^2}{2m}\nabla^2 + V(\mathbf{r})\right)\Psi(\mathbf{r},\,t)",Dirac equation (Q272621)
"(-i\gamma^\mu\partial_\mu + m) \psi = 0\,",Dirac equation in curved spacetime (Q16853908)
phi,wavefunction (N/A)
E^2 = p^2c^2 + m^2c^4 \;,energy-momentum relation (N/A)
G_{\psi} \overline{\psi} \phi \psi,tachyons (N/A)
M,continuous function (Q5165476)
r,position (N/A)
t,time (Q11471)
"M\left[\mathbf{r}(t),\mathbf{\dot{r}}(t),\mathbf{\ddot{r}}(t),t\right]=0\,,",differential equation (N/A)
" \mathbf{r}(0) \,, \quad \mathbf{\dot{r}}(0) \,. ",initial conditions (N/A)
v,velocity (Q11465)
a,acceleration (Q11376)
" \mathbf{v} = \frac{d \mathbf{r}}{d t} \,, \quad \mathbf{a} = \frac{d \mathbf{v}}{d t} = \frac{d^2 \mathbf{r}}{d t^2} \,\!",definitions (N/A)
theta,angle (Q11352)
omega,angular velocity (Q161635)
alpha,angular acceleration (Q186300)
"\boldsymbol{\theta} = \theta \hat{\mathbf{n}} \,,\quad  \boldsymbol{\omega} = \frac{d \boldsymbol{\theta}}{d t} \,, \quad \boldsymbol{\alpha}= \frac{d \boldsymbol{\omega}}{d t} \,,",rotation (Q107617)
" \mathbf{v} = \boldsymbol{\omega}\times \mathbf{r} \,\!",velocity (Q11465)
v  = at+v_0 \quad [1]\\,velocity (Q11465)
r  = r_0 + v_0 t + \tfrac12 {a}t^2 \quad [2]\\,position (N/A)
r  = r_0 + \tfrac12 \left( v+v_0 \right )t \quad [3]\\v^2  = v_0^2 + 2a\left( r - r_0 \right) \quad [4]\\r  = r_0 + vt - \tfrac12 {a}t^2 \quad [5]\\,equations of motion (N/A)
"\mathbf{v}  = \int \mathbf{a} dt = \mathbf{a}t+\mathbf{v}_0 \,, \quad [1] \\ \mathbf{r}  = \int (\mathbf{a}t+\mathbf{v}_0) dt = \frac{\mathbf{a}t^2}{2}+\mathbf{v}_0t +\mathbf{r}_0 \,, \quad [2] \\",equations of motion (N/A)
"v  = at+v_0 \,, \quad [1] \\ r  = \frac{{a}t^2}{2}+v_0t +r_0 \,. \quad [2] \\",velocity (Q11465)
 \mathbf{a} = \frac{(\mathbf{v} - \mathbf{v}_0)}{t} ,acceleration (Q11376)
F,force (Q11402)
m,mass (Q11423)
 \mathbf{F} = m\mathbf{a} ,Newton's second law of motion (Q2397319)
p,momentum (Q41273)
 \mathbf{F} = \frac{d\mathbf{p}}{dt} ,Newton's second law of motion (Q2397319)
" \mathbf{r} =\mathbf{r}\left ( r(t),\theta(t) \right ) = r \mathbf{\hat{e}}_r ",position (N/A)
\mathbf{v} = \mathbf{\hat{e}}_r \frac{d r}{dt} + r \omega \mathbf{\hat{e}}_\theta ,velocity (Q11465)
\mathbf{a} =\left ( \frac{d^2 r}{dt^2} - r\omega^2\right )\mathbf{\hat{e}}_r + \left ( r \alpha + 2 \omega \frac{dr}{dt} \right )\mathbf{\hat{e}}_\theta  ,acceleration (Q11376)
" \frac{d\mathbf{p}_i}{dt} = \mathbf{F}_{E} + \sum_{i \neq j} \mathbf{F}_{ij} \,\!",Newton's second law of motion (Q2397319)
"\boldsymbol{\tau} = \frac{d\mathbf{L}}{dt} \,, ",Newton's second law of motion (Q2397319)
tau,torque (Q48103)
L,angular momentum (N/A)
" \frac{d\mathbf{L}_i}{dt} = \boldsymbol{\tau}_E + \sum_{i \neq j} \boldsymbol{\tau}_{ij} \,,",Newton's second law of motion (Q2397319)
g,gravitational constant (Q18373)
l,length (Q36253)
G,Gravitational Constant (N/A)
\frac{d^2\mathbf{r}_i}{dt^2} = G\sum_{i\neq j}\frac{m_i m_j}{|\mathbf{r}_j - \mathbf{r}_i|^3} (\mathbf{r}_j - \mathbf{r}_i),Newton's second law of motion (Q2397319)
H,hamiltonian (N/A)
" \frac{d}{d t} \left ( \frac{\partial L}{\partial \mathbf{\dot{q}} } \right ) = \frac{\partial L}{\partial \mathbf{q}} \,, ",Euler-Lagrange equation (N/A)
q,coordinate (N/A)
S,Hamiltonian (N/A)
" - \frac{\partial S(\mathbf{q},t)}{\partial t} = H\left(\mathbf{q}, \mathbf{p}, t \right) \,. ",Hamilton-Jacobi equation (N/A)
E,electric field (N/A)
B,magnetic field (N/A)
"\mathbf{F} = q\left(\mathbf{E} + \mathbf{v} \times \mathbf{B}\right) \,\!",Lorentz force (Q172137)
phi,angle (Q11352)
A,gauge (Q2330873)
L=\tfrac12 m \mathbf{\dot{r}}\cdot\mathbf{\dot{r}}+q\mathbf{A}\cdot\dot{\mathbf{r}}-q\phi,Lagrangian (N/A)
P,momentum (Q41273)
" H = \frac{\left(\mathbf{P} - q \mathbf{A}\right)^2}{2m} + q\phi \,\! ",hamiltonian (N/A)
s,length of path (Q30337841)
x,coordinate (Q12753000)
ds = \sqrt{g_{\alpha\beta} d x^\alpha dx^\beta},line (Q1228250)
F,force (Q11402)
v,velocity (Q11465)
t,time (Q11471)
\sum \mathbf{F} = 0\; \Leftrightarrow\; \frac{\mathrm{d} \mathbf{v} }{\mathrm{d}t} = 0.,Newton's second law of motion (Q2397319)
p,momentum (Q41273)
m,mass (Q11423)
\mathbf{F} = \frac{\mathrm{d}\mathbf{p}}{\mathrm{d}t} = \frac{\mathrm{d}(m\mathbf v)}{\mathrm{d}t}.,Newton' s second law of motion (Q2397319)
J,impulse (N/A)
" \mathbf{J} = \int_{\Delta t} \mathbf F \,\mathrm{d}t~.",impulse (N/A)
